REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
06/03/2022,21-24 Years,EMPLOYMENT-BUDGETED,694
06/03/2022,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,137
06/03/2022,21-24 Years,FAIR HEARING (CONTESTING),5
06/03/2022,21-24 Years,FAIR HEARING (NOT CONTESTING),3
06/03/2022,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,3106
06/03/2022,21-24 Years,NEEDED AT HOME,20
06/03/2022,21-24 Years,OTHER WORK ACTIVITY,11
06/03/2022,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
06/03/2022,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
06/03/2022,21-24 Years,PENDING WECARE SCHEDULING/OUT,1
06/03/2022,21-24 Years,RECEIVING SSI,51
06/03/2022,21-24 Years,SANCTION IN EFFECT,1
06/03/2022,21-24 Years,SSI PENDING/APPEALING,24
06/03/2022,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,1
06/03/2022,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,28
06/03/2022,21-24 Years,SUBSTANCE ABUSE TREATMENT,20
06/03/2022,21-24 Years,TEMP. INCAPACITATED - HEALTH,180
06/03/2022,21-24 Years,TEMPORARILY EXEMPT,117
06/03/2022,21-24 Years,UNDERCARE AWAITING SCHEDULING,621
06/03/2022,21-24 Years,UNENGAGED,9
06/03/2022,21-24 Years,WECARE & SUBSTANCE ABUSE,1
06/03/2022,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,178
06/03/2022,21-24 Years,WECARE VOCATIONAL REHABILITAT,96
05/04/2022,16-17 Years,DASIS CASES,2
05/04/2022,16-17 Years,EMPLOYMENT-BUDGETED,3
05/04/2022,16-17 Years,STUDENT OVER AGE 15,34
05/04/2022,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
05/04/2022,18-20 Years,ACTIVE SINGLE ISSUE CASES,33
05/04/2022,18-20 Years,ASSIGNED JOB SEARCH,1004
05/04/2022,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,38
05/04/2022,18-20 Years,DASIS CASES,43
05/04/2022,18-20 Years,EDUCATION/TRAINING,110
05/04/2022,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,2
05/04/2022,18-20 Years,EMPLOYMENT- GRANT DIVERSION,13
05/04/2022,18-20 Years,EMPLOYMENT-BUDGETED,102
05/04/2022,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,18
05/04/2022,18-20 Years,FAIR HEARING (CONTESTING),1
05/04/2022,18-20 Years,FAIR HEARING (NOT CONTESTING),2
05/04/2022,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,929
05/04/2022,18-20 Years,OTHER WORK ACTIVITY,1
05/04/2022,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
05/04/2022,18-20 Years,PREGNANT,3
05/04/2022,18-20 Years,RECEIVING SSI,19
05/04/2022,18-20 Years,SSI PENDING/APPEALING,1
05/04/2022,18-20 Years,STUDENT OVER AGE 15,93
05/04/2022,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,9
05/04/2022,18-20 Years,SUBSTANCE ABUSE TREATMENT,3
05/04/2022,18-20 Years,TEMP. INCAPACITATED - HEALTH,58
05/04/2022,18-20 Years,TEMPORARILY EXEMPT,13
05/04/2022,18-20 Years,UNDERCARE AWAITING SCHEDULING,119
05/04/2022,18-20 Years,UNENGAGED,6
05/04/2022,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,11
05/04/2022,18-20 Years,WECARE VOCATIONAL REHABILITAT,6
05/04/2022,21-24 Years,ACTIVE SINGLE ISSUE CASES,135
05/04/2022,21-24 Years,ASSIGNED JOB SEARCH,5416
05/04/2022,21-24 Years,AWAITING CONCILIATION SCHED.,4
05/04/2022,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,240
05/04/2022,21-24 Years,CHILD UNDER 3 MONTHS,11
05/04/2022,21-24 Years,DASIS CASES,345
05/04/2022,21-24 Years,EDUCATION/TRAINING,321
05/04/2022,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,25
05/04/2022,21-24 Years,EMPLOYMENT- GRANT DIVERSION,102
05/04/2022,21-24 Years,EMPLOYMENT-BUDGETED,682
05/04/2022,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,177
05/04/2022,21-24 Years,FAIR HEARING (CONTESTING),5
05/04/2022,21-24 Years,FAIR HEARING (NOT CONTESTING),2
05/04/2022,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,3279
05/04/2022,21-24 Years,NEEDED AT HOME,21
05/04/2022,21-24 Years,OTHER WORK ACTIVITY,13
05/04/2022,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
05/04/2022,21-24 Years,PENDING WECARE SCHEDULING/OUT,1
05/04/2022,21-24 Years,RECEIVING SSI,51
05/04/2022,21-24 Years,SANCTION IN EFFECT,1
05/04/2022,21-24 Years,SSI PENDING/APPEALING,26
05/04/2022,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,3
05/04/2022,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,31
05/04/2022,21-24 Years,SUBSTANCE ABUSE TREATMENT,21
05/04/2022,21-24 Years,TEMP. INCAPACITATED - HEALTH,194
05/04/2022,21-24 Years,TEMPORARILY EXEMPT,134
05/04/2022,21-24 Years,UNDERCARE AWAITING SCHEDULING,579
05/04/2022,21-24 Years,UNENGAGED,10
05/04/2022,21-24 Years,WECARE & SUBSTANCE ABUSE,1
05/04/2022,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,133
05/04/2022,21-24 Years,WECARE VOCATIONAL REHABILITAT,106
04/05/2022,16-17 Years,DASIS CASES,2
04/05/2022,16-17 Years,EMPLOYMENT-BUDGETED,3
04/05/2022,16-17 Years,STUDENT OVER AGE 15,38
04/05/2022,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
04/05/2022,18-20 Years,ACTIVE SINGLE ISSUE CASES,20
04/05/2022,18-20 Years,ASSIGNED JOB SEARCH,956
04/05/2022,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,24
04/05/2022,18-20 Years,CHILD UNDER 3 MONTHS,3
04/05/2022,18-20 Years,DASIS CASES,39
04/05/2022,18-20 Years,EDUCATION/TRAINING,117
04/05/2022,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,2
04/05/2022,18-20 Years,EMPLOYMENT- GRANT DIVERSION,16
04/05/2022,18-20 Years,EMPLOYMENT-BUDGETED,101
04/05/2022,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,25
04/05/2022,18-20 Years,FAIR HEARING (CONTESTING),1
04/05/2022,18-20 Years,FAIR HEARING (NOT CONTESTING),2
04/05/2022,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,959
04/05/2022,18-20 Years,OTHER WORK ACTIVITY,1
04/05/2022,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
04/05/2022,18-20 Years,PREGNANT,4
04/05/2022,18-20 Years,RECEIVING SSI,21
04/05/2022,18-20 Years,SSI PENDING/APPEALING,1
04/05/2022,18-20 Years,STUDENT OVER AGE 15,27
04/05/2022,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,10
04/05/2022,18-20 Years,SUBSTANCE ABUSE TREATMENT,4
04/05/2022,18-20 Years,TEMP. INCAPACITATED - HEALTH,61
04/05/2022,18-20 Years,TEMPORARILY EXEMPT,17
04/05/2022,18-20 Years,UNDERCARE AWAITING SCHEDULING,142
04/05/2022,18-20 Years,UNENGAGED,5
04/05/2022,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,24
04/05/2022,18-20 Years,WECARE VOCATIONAL REHABILITAT,7
04/05/2022,21-24 Years,ACTIVE SINGLE ISSUE CASES,124
04/05/2022,21-24 Years,ASSIGNED JOB SEARCH,5114
04/05/2022,21-24 Years,AWAITING CONCILIATION SCHED.,4
04/05/2022,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,174
04/05/2022,21-24 Years,CHILD UNDER 3 MONTHS,7
04/05/2022,21-24 Years,DASIS CASES,349
04/05/2022,21-24 Years,EDUCATION/TRAINING,320
04/05/2022,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,24
04/05/2022,21-24 Years,EMPLOYMENT- GRANT DIVERSION,95
04/05/2022,21-24 Years,EMPLOYMENT-BUDGETED,672
04/05/2022,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,200
04/05/2022,21-24 Years,FAIR HEARING (CONTESTING),7
04/05/2022,21-24 Years,FAIR HEARING (NOT CONTESTING),2
04/05/2022,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,3356
04/05/2022,21-24 Years,NEEDED AT HOME,23
04/05/2022,21-24 Years,OTHER WORK ACTIVITY,10
04/05/2022,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
04/05/2022,21-24 Years,PENDING WECARE SCHEDULING/OUT,2
04/05/2022,21-24 Years,PREGNANT,11
04/05/2022,21-24 Years,RECEIVING SSI,55
04/05/2022,21-24 Years,SANCTION IN EFFECT,1
04/05/2022,21-24 Years,SSI PENDING/APPEALING,28
04/05/2022,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,1
04/05/2022,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,30
04/05/2022,21-24 Years,SUBSTANCE ABUSE TREATMENT,23
04/05/2022,21-24 Years,TEMP. INCAPACITATED - HEALTH,207
04/05/2022,21-24 Years,TEMPORARILY EXEMPT,129
04/05/2022,21-24 Years,UNDERCARE AWAITING SCHEDULING,571
04/05/2022,21-24 Years,UNENGAGED,12
04/05/2022,21-24 Years,WECARE & SUBSTANCE ABUSE,1
04/05/2022,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,241
04/05/2022,21-24 Years,WECARE VOCATIONAL REHABILITAT,107
03/02/2022,16-17 Years,DASIS CASES,2
03/02/2022,16-17 Years,EMPLOYMENT-BUDGETED,2
03/02/2022,16-17 Years,STUDENT OVER AGE 15,35
03/02/2022,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
03/02/2022,16-17 Years,TEMPORARILY EXEMPT,1
03/02/2022,18-20 Years,ACTIVE SINGLE ISSUE CASES,38
03/02/2022,18-20 Years,ASSIGNED JOB SEARCH,1188
03/02/2022,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,31
03/02/2022,18-20 Years,DASIS CASES,42
03/02/2022,18-20 Years,EDUCATION/TRAINING,113
03/02/2022,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,4
03/02/2022,18-20 Years,EMPLOYMENT- GRANT DIVERSION,15
03/02/2022,18-20 Years,EMPLOYMENT-BUDGETED,88
03/02/2022,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,23
03/02/2022,18-20 Years,FAIR HEARING (CONTESTING),1
03/02/2022,18-20 Years,FAIR HEARING (NOT CONTESTING),1
03/02/2022,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,803
03/02/2022,18-20 Years,OTHER WORK ACTIVITY,1
03/02/2022,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
03/02/2022,18-20 Years,RECEIVING SSI,22
03/02/2022,18-20 Years,SSI PENDING/APPEALING,1
03/02/2022,18-20 Years,STUDENT OVER AGE 15,26
03/02/2022,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,10
03/02/2022,18-20 Years,SUBSTANCE ABUSE TREATMENT,4
03/02/2022,18-20 Years,TEMP. INCAPACITATED - HEALTH,74
03/02/2022,18-20 Years,TEMPORARILY EXEMPT,24
03/02/2022,18-20 Years,UNDERCARE AWAITING SCHEDULING,137
03/02/2022,18-20 Years,UNENGAGED,1
03/02/2022,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,19
03/02/2022,18-20 Years,WECARE VOCATIONAL REHABILITAT,6
03/02/2022,21-24 Years,ACTIVE SINGLE ISSUE CASES,115
03/02/2022,21-24 Years,ASSIGNED JOB SEARCH,5802
03/02/2022,21-24 Years,AWAITING CONCILIATION SCHED.,4
03/02/2022,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,277
03/02/2022,21-24 Years,CHILD UNDER 3 MONTHS,16
03/02/2022,21-24 Years,DASIS CASES,358
03/02/2022,21-24 Years,EDUCATION/TRAINING,312
03/02/2022,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,30
03/02/2022,21-24 Years,EMPLOYMENT- GRANT DIVERSION,101
03/02/2022,21-24 Years,EMPLOYMENT-BUDGETED,665
03/02/2022,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,184
03/02/2022,21-24 Years,FAIR HEARING (CONTESTING),8
03/02/2022,21-24 Years,FAIR HEARING (NOT CONTESTING),4
03/02/2022,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,2747
03/02/2022,21-24 Years,NEEDED AT HOME,24
03/02/2022,21-24 Years,OTHER WORK ACTIVITY,10
03/02/2022,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
03/02/2022,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
03/02/2022,21-24 Years,PENDING WECARE SCHEDULING/OUT,2
03/02/2022,21-24 Years,RECEIVING SSI,47
03/02/2022,21-24 Years,SANCTION IN EFFECT,2
03/02/2022,21-24 Years,SSI PENDING/APPEALING,27
03/02/2022,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,1
03/02/2022,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,28
03/02/2022,21-24 Years,SUBSTANCE ABUSE TREATMENT,24
03/02/2022,21-24 Years,TEMP. INCAPACITATED - HEALTH,231
03/02/2022,21-24 Years,TEMPORARILY EXEMPT,138
03/02/2022,21-24 Years,UNDERCARE AWAITING SCHEDULING,476
03/02/2022,21-24 Years,UNENGAGED,7
03/02/2022,21-24 Years,WECARE & SUBSTANCE ABUSE,1
03/02/2022,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,161
03/02/2022,21-24 Years,WECARE VOCATIONAL REHABILITAT,115
03/02/2022,21-24 Years,WELLNESS/REHAB PROGRAM,5
02/03/2022,16-17 Years,DASIS CASES,2
02/03/2022,16-17 Years,EMPLOYMENT-BUDGETED,2
02/03/2022,16-17 Years,STUDENT OVER AGE 15,35
02/03/2022,16-17 Years,TEMPORARILY EXEMPT,1
02/03/2022,18-20 Years,ACTIVE SINGLE ISSUE CASES,37
02/03/2022,18-20 Years,ASSIGNED JOB SEARCH,1367
02/03/2022,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,24
02/03/2022,18-20 Years,CHILD UNDER 3 MONTHS,2
02/03/2022,18-20 Years,DASIS CASES,43
02/03/2022,18-20 Years,EDUCATION/TRAINING,109
02/03/2022,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,4
02/03/2022,18-20 Years,EMPLOYMENT- GRANT DIVERSION,14
02/03/2022,18-20 Years,EMPLOYMENT-BUDGETED,87
02/03/2022,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,29
02/03/2022,18-20 Years,FAIR HEARING (CONTESTING),1
02/03/2022,18-20 Years,FAIR HEARING (NOT CONTESTING),2
02/03/2022,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,553
02/03/2022,18-20 Years,OTHER WORK ACTIVITY,1
02/03/2022,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
02/03/2022,18-20 Years,RECEIVING SSI,19
02/03/2022,18-20 Years,SSI PENDING/APPEALING,1
02/03/2022,18-20 Years,STUDENT OVER AGE 15,29
02/03/2022,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,11
02/03/2022,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
02/03/2022,18-20 Years,TEMP. INCAPACITATED - HEALTH,63
02/03/2022,18-20 Years,TEMPORARILY EXEMPT,21
02/03/2022,18-20 Years,UNDERCARE AWAITING SCHEDULING,121
02/03/2022,18-20 Years,UNENGAGED,5
02/03/2022,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,11
02/03/2022,18-20 Years,WECARE VOCATIONAL REHABILITAT,8
02/03/2022,21-24 Years,ACTIVE SINGLE ISSUE CASES,145
02/03/2022,21-24 Years,ASSIGNED JOB SEARCH,6326
02/03/2022,21-24 Years,AWAITING CONCILIATION SCHED.,2
02/03/2022,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,205
02/03/2022,21-24 Years,CHILD UNDER 3 MONTHS,10
02/03/2022,21-24 Years,DASIS CASES,351
02/03/2022,21-24 Years,EDUCATION/TRAINING,293
02/03/2022,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,31
02/03/2022,21-24 Years,EMPLOYMENT- GRANT DIVERSION,99
02/03/2022,21-24 Years,EMPLOYMENT-BUDGETED,627
02/03/2022,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,164
02/03/2022,21-24 Years,FAIR HEARING (CONTESTING),8
02/03/2022,21-24 Years,FAIR HEARING (NOT CONTESTING),3
02/03/2022,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,1757
02/03/2022,21-24 Years,NEEDED AT HOME,26
02/03/2022,21-24 Years,OTHER WORK ACTIVITY,8
02/03/2022,21-24 Years,PENDING CASAC SCHEDULING/OUT,3
02/03/2022,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
02/03/2022,21-24 Years,PENDING WECARE SCHEDULING/OUT,2
02/03/2022,21-24 Years,RECEIVING SSI,40
02/03/2022,21-24 Years,SANCTION IN EFFECT,2
02/03/2022,21-24 Years,SSI PENDING/APPEALING,26
02/03/2022,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,26
02/03/2022,21-24 Years,SUBSTANCE ABUSE TREATMENT,25
02/03/2022,21-24 Years,TEMP. INCAPACITATED - HEALTH,226
02/03/2022,21-24 Years,TEMPORARILY EXEMPT,118
02/03/2022,21-24 Years,UNDERCARE AWAITING SCHEDULING,490
02/03/2022,21-24 Years,UNENGAGED,36
02/03/2022,21-24 Years,WECARE & SUBSTANCE ABUSE,1
02/03/2022,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,150
02/03/2022,21-24 Years,WECARE VOCATIONAL REHABILITAT,110
02/03/2022,21-24 Years,WECARE/CONCURRENT ACTIVITY,1
02/03/2022,21-24 Years,WELLNESS/REHAB PROGRAM,6
01/04/2022,16-17 Years,DASIS CASES,2
01/04/2022,16-17 Years,EMPLOYMENT-BUDGETED,2
01/04/2022,16-17 Years,STUDENT OVER AGE 15,35
01/04/2022,16-17 Years,TEMPORARILY EXEMPT,1
01/04/2022,18-20 Years,ACTIVE SINGLE ISSUE CASES,37
01/04/2022,18-20 Years,ASSIGNED JOB SEARCH,1364
01/04/2022,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,23
01/04/2022,18-20 Years,CHILD UNDER 3 MONTHS,2
01/04/2022,18-20 Years,DASIS CASES,45
01/04/2022,18-20 Years,EDUCATION/TRAINING,113
01/04/2022,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,4
01/04/2022,18-20 Years,EMPLOYMENT- GRANT DIVERSION,13
01/04/2022,18-20 Years,EMPLOYMENT-BUDGETED,84
01/04/2022,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,22
01/04/2022,18-20 Years,FAIR HEARING (CONTESTING),1
01/04/2022,18-20 Years,FAIR HEARING (NOT CONTESTING),1
01/04/2022,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,533
01/04/2022,18-20 Years,OTHER WORK ACTIVITY,1
01/04/2022,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
01/04/2022,18-20 Years,RECEIVING SSI,21
01/04/2022,18-20 Years,SSI PENDING/APPEALING,1
01/04/2022,18-20 Years,STUDENT OVER AGE 15,30
01/04/2022,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,10
01/04/2022,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
01/04/2022,18-20 Years,TEMP. INCAPACITATED - HEALTH,66
01/04/2022,18-20 Years,TEMPORARILY EXEMPT,26
01/04/2022,18-20 Years,UNDERCARE AWAITING SCHEDULING,96
01/04/2022,18-20 Years,UNENGAGED,4
01/04/2022,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,14
01/04/2022,18-20 Years,WECARE VOCATIONAL REHABILITAT,11
01/04/2022,21-24 Years,ACTIVE SINGLE ISSUE CASES,170
01/04/2022,21-24 Years,ASSIGNED JOB SEARCH,6039
01/04/2022,21-24 Years,AWAITING CONCILIATION SCHED.,1
01/04/2022,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,192
01/04/2022,21-24 Years,CHILD UNDER 3 MONTHS,15
01/04/2022,21-24 Years,DASIS CASES,357
01/04/2022,21-24 Years,EDUCATION/TRAINING,288
01/04/2022,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,35
01/04/2022,21-24 Years,EMPLOYMENT- GRANT DIVERSION,101
01/04/2022,21-24 Years,EMPLOYMENT-BUDGETED,611
01/04/2022,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,139
01/04/2022,21-24 Years,FAIR HEARING (CONTESTING),8
01/04/2022,21-24 Years,FAIR HEARING (NOT CONTESTING),2
01/04/2022,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,1743
01/04/2022,21-24 Years,NEEDED AT HOME,28
01/04/2022,21-24 Years,OTHER WORK ACTIVITY,9
01/04/2022,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
01/04/2022,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
01/04/2022,21-24 Years,PENDING WECARE SCHEDULING/OUT,2
01/04/2022,21-24 Years,RECEIVING SSI,43
01/04/2022,21-24 Years,SANCTION IN EFFECT,4
01/04/2022,21-24 Years,SSI PENDING/APPEALING,27
01/04/2022,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,27
01/04/2022,21-24 Years,SUBSTANCE ABUSE TREATMENT,22
01/04/2022,21-24 Years,TEMP. INCAPACITATED - HEALTH,216
01/04/2022,21-24 Years,TEMPORARILY EXEMPT,130
01/04/2022,21-24 Years,UNDERCARE AWAITING SCHEDULING,406
01/04/2022,21-24 Years,UNENGAGED,5
01/04/2022,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,171
01/04/2022,21-24 Years,WECARE VOCATIONAL REHABILITAT,104
01/04/2022,21-24 Years,WELLNESS/REHAB PROGRAM,4
12/06/2021,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
12/06/2021,16-17 Years,DASIS CASES,2
12/06/2021,16-17 Years,EMPLOYMENT-BUDGETED,1
12/06/2021,16-17 Years,STUDENT OVER AGE 15,31
12/06/2021,16-17 Years,TEMPORARILY EXEMPT,1
12/06/2021,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
12/06/2021,18-20 Years,ACTIVE SINGLE ISSUE CASES,72
12/06/2021,18-20 Years,ASSIGNED JOB SEARCH,914
12/06/2021,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,21
12/06/2021,18-20 Years,CHILD UNDER 3 MONTHS,1
12/06/2021,18-20 Years,DASIS CASES,48
12/06/2021,18-20 Years,EDUCATION/TRAINING,125
12/06/2021,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,3
12/06/2021,18-20 Years,EMPLOYMENT- GRANT DIVERSION,10
12/06/2021,18-20 Years,EMPLOYMENT-BUDGETED,66
12/06/2021,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,26
12/06/2021,18-20 Years,FAIR HEARING (CONTESTING),1
12/06/2021,18-20 Years,FAIR HEARING (NOT CONTESTING),1
12/06/2021,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,717
12/06/2021,18-20 Years,OTHER WORK ACTIVITY,1
12/06/2021,18-20 Years,RECEIVING SSI,22
12/06/2021,18-20 Years,SSI PENDING/APPEALING,1
12/06/2021,18-20 Years,STUDENT OVER AGE 15,24
12/06/2021,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,8
12/06/2021,18-20 Years,SUBSTANCE ABUSE TREATMENT,2
12/06/2021,18-20 Years,TEMP. INCAPACITATED - HEALTH,46
12/06/2021,18-20 Years,TEMPORARILY EXEMPT,37
12/06/2021,18-20 Years,UNDERCARE AWAITING SCHEDULING,190
12/06/2021,18-20 Years,UNENGAGED,3
12/06/2021,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,19
12/06/2021,18-20 Years,WECARE VOCATIONAL REHABILITAT,8
12/06/2021,21-24 Years,ACTIVE SINGLE ISSUE CASES,278
12/06/2021,21-24 Years,ASSIGNED JOB SEARCH,2974
12/06/2021,21-24 Years,AWAITING CONCILIATION SCHED.,1
12/06/2021,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,144
12/06/2021,21-24 Years,CHILD UNDER 3 MONTHS,7
12/06/2021,21-24 Years,DASIS CASES,351
12/06/2021,21-24 Years,EDUCATION/TRAINING,334
12/06/2021,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,39
12/06/2021,21-24 Years,EMPLOYMENT- GRANT DIVERSION,82
12/06/2021,21-24 Years,EMPLOYMENT-BUDGETED,553
12/06/2021,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,122
12/06/2021,21-24 Years,FAIR HEARING (CONTESTING),4
12/06/2021,21-24 Years,FAIR HEARING (NOT CONTESTING),3
12/06/2021,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,3290
12/06/2021,21-24 Years,NEEDED AT HOME,28
12/06/2021,21-24 Years,OTHER WORK ACTIVITY,9
12/06/2021,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
12/06/2021,21-24 Years,PENDING WECARE SCHEDULING/OUT,2
12/06/2021,21-24 Years,RECEIVING SSI,44
12/06/2021,21-24 Years,SANCTION IN EFFECT,5
12/06/2021,21-24 Years,SSI PENDING/APPEALING,29
12/06/2021,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,1
12/06/2021,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,23
12/06/2021,21-24 Years,SUBSTANCE ABUSE TREATMENT,19
12/06/2021,21-24 Years,TEMP. INCAPACITATED - HEALTH,185
12/06/2021,21-24 Years,TEMPORARILY EXEMPT,142
12/06/2021,21-24 Years,UNDERCARE AWAITING SCHEDULING,995
12/06/2021,21-24 Years,UNENGAGED,4
12/06/2021,21-24 Years,WECARE & SUBSTANCE ABUSE,1
12/06/2021,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,194
12/06/2021,21-24 Years,WECARE VOCATIONAL REHABILITAT,93
12/06/2021,21-24 Years,WELLNESS/REHAB PROGRAM,5
11/08/2021,16-17 Years,DASIS CASES,2
11/08/2021,16-17 Years,EMPLOYMENT-BUDGETED,1
11/08/2021,16-17 Years,STUDENT OVER AGE 15,30
11/08/2021,16-17 Years,TEMPORARILY EXEMPT,1
11/08/2021,18-20 Years,ACTIVE SINGLE ISSUE CASES,88
11/08/2021,18-20 Years,ASSIGNED JOB SEARCH,597
11/08/2021,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,37
11/08/2021,18-20 Years,CHILD UNDER 3 MONTHS,1
11/08/2021,18-20 Years,DASIS CASES,39
11/08/2021,18-20 Years,EDUCATION/TRAINING,131
11/08/2021,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,1
11/08/2021,18-20 Years,EMPLOYMENT- GRANT DIVERSION,13
11/08/2021,18-20 Years,EMPLOYMENT-BUDGETED,79
11/08/2021,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,32
11/08/2021,18-20 Years,FAIR HEARING (CONTESTING),1
11/08/2021,18-20 Years,FAIR HEARING (NOT CONTESTING),1
